,speed,course,rot,Anomaly,Anomaly_Score,label,Anomal
4,0.0,296.0,-128.0,1,62.46555494443051,1,1
11,0.0,334.0,0.0,1,54.88380456765114,1,1
34,0.0,299.0,0.0,1,53.44954703051529,1,1
35,0.0,133.0,0.0,1,50.05521191541335,1,1
50,0.0,133.0,0.0,1,50.05521191541335,1,1
53,0.0,52.0,-5.0,1,50.70983649770899,1,1
70,0.0,329.0,-128.0,1,63.603504132691796,1,1
82,0.0,319.0,5.0,1,54.2053654370387,1,1
100,0.0,301.0,-128.0,1,62.626395343377325,1,1
101,0.0,304.0,-128.0,1,62.72491005100139,1,1
108,0.0,304.0,-128.0,1,62.72491005100139,1,1
129,0.0,282.0,0.0,1,52.83575611754631,1,1
131,0.0,334.0,7.0,1,54.84079937347093,1,1
141,0.0,292.0,0.0,1,53.19005458323594,1,1
142,0.0,126.0,0.0,1,50.04673962118001,1,1
151,0.0,301.0,0.0,1,53.52540250760932,1,1
178,0.0,128.0,0.0,1,50.04800966473585,1,1
186,0.0,14.0,-128.0,1,60.821786903520845,1,1
188,0.0,216.0,5.0,1,50.967356004474176,1,1
191,0.0,134.0,0.0,1,50.05734260461392,1,1
199,0.0,329.0,0.0,1,54.66532786102903,1,1
201,0.0,61.0,0.0,1,50.504448161184044,1,1
207,0.0,267.0,0.0,1,52.34125699068346,1,1
214,0.0,319.0,0.0,1,54.241751768897416,1,1
216,0.0,304.0,0.0,1,53.64060284558552,1,1
218,0.0,297.0,0.0,1,53.37445105236941,1,1
227,0.0,304.0,-128.0,1,62.72491005100139,1,1
237,0.0,115.0,0.0,1,50.05620866821535,1,1
259,0.0,133.0,0.0,1,50.05521191541335,1,1
282,0.0,338.0,5.0,1,55.02604309869719,1,1
288,0.0,296.0,0.0,1,53.337188861997674,1,1
291,0.0,52.0,5.0,1,50.6043953845428,1,1
294,0.0,52.0,0.0,1,50.64327611994413,1,1
297,0.0,52.0,0.0,1,50.64327611994413,1,1
310,0.0,301.0,-128.0,1,62.626395343377325,1,1
312,0.0,282.0,0.0,1,52.83575611754631,1,1
319,0.0,318.0,0.0,1,54.200387297501166,1,1
320,0.0,52.0,5.0,1,50.6043953845428,1,1
323,0.0,308.0,0.0,1,53.79683183858201,1,1
336,0.0,129.0,0.0,1,50.048989894352204,1,1
382,0.0,301.0,0.0,1,53.52540250760932,1,1
392,0.0,299.0,0.0,1,53.44954703051529,1,1
393,0.0,299.0,0.0,1,53.44954703051529,1,1
396,0.0,14.0,-128.0,1,60.821786903520845,1,1
397,0.0,325.0,0.0,1,54.4937421291904,1,1
400,0.0,304.0,-128.0,1,62.72491005100139,1,1
412,0.0,52.0,-5.0,1,50.70983649770899,1,1
418,0.0,9.0,0.0,1,51.551806412570166,1,1
426,0.0,301.0,0.0,1,53.52540250760932,1,1
432,0.0,117.0,0.0,1,50.0524162233474,1,1
434,0.0,14.0,0.0,1,51.425707177065945,1,1
442,0.0,133.0,0.0,1,50.05521191541335,1,1
444,0.0,338.0,5.0,1,55.02604309869719,1,1
460,0.0,133.0,0.0,1,50.05521191541335,1,1
468,0.0,325.0,5.0,1,54.457567173228064,1,1
473,0.0,299.0,0.0,1,53.44954703051529,1,1
483,0.0,128.0,-128.0,1,59.672691630457145,1,1
487,0.0,282.0,0.0,1,52.83575611754631,1,1
508,0.0,318.0,0.0,1,54.200387297501166,1,1
514,0.0,342.0,0.0,1,55.242476250053976,1,1
540,0.0,292.0,0.0,1,53.19005458323594,1,1
544,0.0,52.0,5.0,1,50.6043953845428,1,1
552,0.0,292.0,0.0,1,53.19005458323594,1,1
562,0.0,267.0,0.0,1,52.34125699068346,1,1
592,0.0,117.0,0.0,1,50.0524162233474,1,1
596,0.0,297.0,0.0,1,53.37445105236941,1,1
598,0.0,330.0,0.0,1,54.708669518039706,1,1
628,0.0,304.0,-128.0,1,62.72491005100139,1,1
645,0.0,329.0,-128.0,1,63.603504132691796,1,1
662,0.0,308.0,0.0,1,53.79683183858201,1,1
686,0.0,14.0,-5.0,1,51.49087934867443,1,1
689,0.0,319.0,0.0,1,54.241751768897416,1,1
690,0.0,308.0,0.0,1,53.79683183858201,1,1
691,0.0,44.0,0.0,1,50.781785070377964,1,1
692,0.0,133.0,-128.0,1,59.67916503591064,1,1
705,0.0,308.0,0.0,1,53.79683183858201,1,1
724,0.0,304.0,0.0,1,53.64060284558552,1,1
745,0.0,159.0,-128.0,1,59.790386942072054,1,1
748,0.0,301.0,0.0,1,53.52540250760932,1,1
749,0.0,329.0,0.0,1,54.66532786102903,1,1
756,0.0,95.0,-128.0,1,59.75076250985191,1,1
769,0.0,304.0,0.0,1,53.64060284558552,1,1
779,0.0,140.0,-5.0,1,50.142860897656576,1,1
793,0.0,272.0,-128.0,1,61.75274627120395,1,1
805,0.0,304.0,0.0,1,53.64060284558552,1,1
814,0.0,52.0,0.0,1,50.64327611994413,1,1
827,0.0,292.0,5.0,1,53.15276504871454,1,1
837,0.0,318.0,-7.0,1,54.29491112550447,1,1
843,0.0,292.0,0.0,1,53.19005458323594,1,1
848,0.0,14.0,0.0,1,51.425707177065945,1,1
856,0.0,267.0,0.0,1,52.34125699068346,1,1
873,0.0,27.0,-5.0,1,51.18846676383994,1,1
881,0.0,133.0,0.0,1,50.05521191541335,1,1
889,0.0,300.0,0.0,1,53.487380029477166,1,1
905,0.0,301.0,-128.0,1,62.626395343377325,1,1
941,0.0,304.0,0.0,1,53.64060284558552,1,1
956,0.0,133.0,0.0,1,50.05521191541335,1,1
965,0.0,301.0,-128.0,1,62.626395343377325,1,1
972,0.0,297.0,0.0,1,53.37445105236941,1,1
983,0.0,133.0,0.0,1,50.05521191541335,1,1
1003,0.0,297.0,0.0,1,53.37445105236941,1,1
1006,0.0,310.0,-128.0,1,62.92643072434947,1,1
1024,0.0,301.0,-128.0,1,62.626395343377325,1,1
1030,0.0,14.0,-128.0,1,60.821786903520845,1,1
1055,0.0,291.0,0.0,1,53.15375158676707,1,1
1069,0.0,52.0,0.0,1,50.64327611994413,1,1
1070,0.0,299.0,0.0,1,53.44954703051529,1,1
1084,0.0,126.0,0.0,1,50.04673962118001,1,1
1099,0.0,304.0,-128.0,1,62.72491005100139,1,1
1103,0.0,61.0,-5.0,1,50.57127262431156,1,1
1120,0.0,9.0,0.0,1,51.551806412570166,1,1
1130,0.0,44.0,-128.0,1,60.28140675432447,1,1
1135,0.0,329.0,-128.0,1,63.603504132691796,1,1
1150,0.0,14.0,0.0,1,51.425707177065945,1,1
1155,0.0,318.0,-128.0,1,63.204357483877004,1,1
1157,0.0,342.0,0.0,1,55.242476250053976,1,1
1168,0.0,298.0,5.0,1,53.37480759350318,1,1
1171,0.0,14.0,0.0,1,51.425707177065945,1,1
1174,0.0,216.0,5.0,1,50.967356004474176,1,1
1193,0.0,133.0,-128.0,1,59.67916503591064,1,1
1203,0.0,304.0,-128.0,1,62.72491005100139,1,1
1204,0.0,308.0,0.0,1,53.79683183858201,1,1
1205,0.0,319.0,0.0,1,54.241751768897416,1,1
1210,0.0,133.0,0.0,1,50.05521191541335,1,1
1225,0.0,133.0,-128.0,1,59.67916503591064,1,1
1249,0.0,334.0,-128.0,1,63.79135406238747,1,1
1256,0.0,292.0,-128.0,1,62.33991651971186,1,1
1292,0.0,338.0,-7.0,1,55.15460887958277,1,1
1294,0.2,26.0,-128.0,1,59.93476585961564,1,1
1307,0.0,304.0,-128.0,1,62.72491005100139,1,1
1312,0.0,319.0,0.0,1,54.241751768897416,1,1
1314,0.0,292.0,-128.0,1,62.33991651971186,1,1
1330,0.0,330.0,0.0,1,54.708669518039706,1,1
1331,0.0,338.0,-128.0,1,63.94448989104572,1,1
1351,0.0,14.0,0.0,1,51.425707177065945,1,1
1365,0.0,304.0,-128.0,1,62.72491005100139,1,1
1376,0.0,292.0,0.0,1,53.19005458323594,1,1
1379,0.0,329.0,-128.0,1,63.603504132691796,1,1
1387,0.0,292.0,-128.0,1,62.33991651971186,1,1
1402,0.0,52.0,0.0,1,50.64327611994413,1,1
1403,0.0,319.0,-5.0,1,54.304045296990374,1,1
1410,0.0,301.0,0.0,1,53.52540250760932,1,1
1418,0.0,128.0,0.0,1,50.04800966473585,1,1
1420,0.0,299.0,0.0,1,53.44954703051529,1,1
1424,0.0,282.0,7.0,1,52.79057469182666,1,1
1470,0.0,329.0,-128.0,1,63.603504132691796,1,1
1471,0.0,134.0,0.0,1,50.05734260461392,1,1
1495,0.0,133.0,0.0,1,50.05521191541335,1,1
1501,0.0,330.0,-5.0,1,54.77035766664191,1,1
1507,0.0,296.0,0.0,1,53.337188861997674,1,1
1514,0.0,267.0,0.0,1,52.34125699068346,1,1
1519,0.0,301.0,0.0,1,53.52540250760932,1,1
1527,0.0,9.0,0.0,1,51.551806412570166,1,1
1545,0.0,319.0,5.0,1,54.2053654370387,1,1
1552,0.0,52.0,-5.0,1,50.70983649770899,1,1
1557,0.0,129.0,0.0,1,50.048989894352204,1,1
1571,0.0,330.0,0.0,1,54.708669518039706,1,1
1572,0.0,14.0,0.0,1,51.425707177065945,1,1
1590,0.0,292.0,-128.0,1,62.33991651971186,1,1
1599,0.0,134.0,5.0,1,50.017434825330476,1,1
1609,0.0,216.0,7.0,1,50.959382896874374,1,1
1619,0.0,282.0,0.0,1,52.83575611754631,1,1
1627,0.0,330.0,0.0,1,54.708669518039706,1,1
1644,0.0,330.0,0.0,1,54.708669518039706,1,1
1660,0.0,304.0,0.0,1,53.64060284558552,1,1
1679,0.0,145.0,0.0,1,50.09595394427112,1,1
1680,0.0,304.0,0.0,1,53.64060284558552,1,1
1689,0.0,330.0,0.0,1,54.708669518039706,1,1
1698,0.0,145.0,0.0,1,50.09595394427112,1,1
1721,0.0,301.0,0.0,1,53.52540250760932,1,1
1732,0.0,304.0,0.0,1,53.64060284558552,1,1
1745,0.0,14.0,-128.0,1,60.821786903520845,1,1
1766,0.0,52.0,0.0,1,50.64327611994413,1,1
1772,0.0,308.0,0.0,1,53.79683183858201,1,1
